t,BH
0,0
1,-0.028156286306761688
2,-0.080364303015316746
3,-0.0061115481841444719
4,0.029649947871983939
5,0.061098686676841554
6,0.079721706512444937
7,0.018333657265813819
8,-0.020437527588870373
9,-0.10478731073981937
10,-0.1476906846788161
11,-0.17223199682412074
12,-0.20645887650253203
13,-0.31705723827214216
14,-0.35223762972565609
15,-0.32482811275895362
16,-0.30591801508569227
17,-0.29750617649552047
18,-0.32631629918154131
19,-0.34878176377844666
20,-0.36158956046871277
21,-0.38858364037503512
22,-0.45431186502025112
23,-0.52883916896901595
24,-0.5792242954663428
25,-0.56844382402985794
26,-0.6027233715200514
27,-0.61077717211306415
28,-0.63003546510130615
29,-0.61174120251818531
30,-0.64740686437860695
31,-0.79105444400001335
32,-0.79697822508307692
33,-0.78590145130805833
34,-0.80632765315321375
35,-0.74206203692648554
36,-0.7044607858037133
37,-0.74914368215172766
38,-0.74818091059695357
39,-0.81697938585130003
40,-0.91986960584226873
41,-0.97917760164170853
42,-0.94182098745698661
43,-0.84241818012553993
44,-0.8573749177157568
45,-0.89047098285262194
46,-0.94269695409983312
47,-0.96247347326251098
48,-0.94638956866578872
49,-0.92192233768953158
50,-0.96272915195461384
51,-0.95563387258234678
52,-0.90138014064254768
53,-0.87690111063608978
54,-0.74035624244924381
55,-0.65396215515404166
56,-0.67495634422351158
57,-0.64652373164651
58,-0.56327865528595633
59,-0.4805615704896829
60,-0.48159959929179369
61,-0.47827611591331415
62,-0.34911914910638248
63,-0.33846316303847912
64,-0.31683105468855016
65,-0.40788096808049457
66,-0.48449074218586974
67,-0.50492432772841978
68,-0.45058751736716646
69,-0.45276099627220395
70,-0.44233015769095479
71,-0.50627877591759241
72,-0.52369672725756078
73,-0.55693289077948882
74,-0.58347716971844588
75,-0.65986011630948738
76,-0.69331583700503585
77,-0.72986857871066857
78,-0.74743472776477671
79,-0.69373544861650016
80,-0.76549110324865022
81,-0.82463420292928113
82,-0.85621229554461942
83,-0.77294141113982628
84,-0.75324789514592327
85,-0.78128845147110348
86,-0.83479161560679249
87,-0.90458904638447746
88,-1.0334241543044527
89,-1.153619787396656
90,-1.1229051383652715
91,-1.2128770721830529
92,-1.24307405491982
93,-1.165812607885798
94,-1.153356340710191
95,-1.120324674454497
96,-1.1042352249689049
97,-1.1097485103516387
98,-1.1336229752606666
99,-1.1615925753105796
100,-1.2325953445819047
101,-1.2354966899887867
102,-1.290199847188656
103,-1.2292933663247985
104,-1.207698951015383
105,-1.083460695863891
106,-1.0427564027551179
107,-0.98677016970144016
108,-0.91726398947431775
109,-0.83768903656892335
110,-0.74040449213006376
111,-0.72889272400328353
112,-0.72517438094998443
113,-0.68805069476681335
114,-0.64030674257274789
115,-0.55645735672408925
116,-0.63136991525453967
117,-0.64496517858484992
118,-0.5318362573304648
119,-0.49082095642534729
120,-0.5017827493056678
121,-0.44986783144373144
122,-0.42907359673464374
123,-0.4102482577579869
124,-0.36500322784299166
125,-0.40757848238101135
126,-0.41675045736840227
127,-0.50661317472625034
128,-0.56211835515822439
